quanta_author,quanta_pub_date,quanta_title,arxiv_id,title,authors,original_submission_date,most_recent_update_date,primary_subject,secondary_subject,primary-MSC,secondary_MSC
['Jennifer Ouellette'],2013-07-18,"In the Hunt for Dark Matter, Promises to Keep?",astro-ph/0608407,A direct empirical proof of the existence of dark matter,"['Randall, Scott W.', 'Gonzalez, Anthony H.', 'Bradac, Marusa', 'Clowe, Douglas', 'Jones, Christine', 'Markevitch, Maxim', 'Zaritsky, Dennis']",2006/08/19,2006/08/19,['Astrophysics (astro-ph)'],[],[],[]
['Jennifer Ouellette'],2013-07-18,"In the Hunt for Dark Matter, Promises to Keep?",1304.3706,Silicon detector results from the first five-tower run of CDMS II,"['Phipps, A.', 'Nelson, R. H.', 'Shank, B.', 'Thakur, R. Basu', 'Cerdeno, D. G.', 'Pyle, M.', 'Speller, D.', 'Hofer, T.', 'Sander, J.', 'Bauer, D. A.', 'Saab, T.', 'Agnese, R.', 'Daal, M.', 'Brandt, D.', 'Cornell, B.', 'Ahmed, Z.', 'Mandic, V.', 'Redl, P.', 'Scorza, S.', 'Serfass, B.', 'Cushman, P.', 'Figueroa-Feliciano, E.', 'Silva, E. do Couto e', 'Wright, D. H.', 'Kos, M.', 'Esteban, L.', 'Kamaev, O.', 'Godfrey, G. L.', 'Lopez-Asamar, E.', 'Caldwell, D. O.', 'Kelsey, M. H.', 'Borgland, A.', 'Kara, B.', 'Qiu, H.', 'Kiveni, M.', 'Huber, M. E.', 'Filippini, J.', 'Harris, R. H.', 'Schnee, R. W.', 'Martinez, C.', 'Ricci, Y.', 'Partridge, R.', 'Schneck, K.', 'Pepin, M.', 'Nadeau, P.', 'Zhan, J.', 'Di Stefano, P. C. F.', 'Dejongh, F.', 'Anderson, A. J.', 'Mahapatra, R.', 'Prasad, K.', 'Doughty, T.', 'Welliver, B.', 'Cooley, J.', 'Golwala, S. R.', 'Hall, J.', 'Bruch, T.', 'Jastram, A.', 'Holmgren, D.', 'Koch, K.', 'Moffatt, R. A.', 'Sadoulet, B.', 'Rau, W.', 'Villano, A. N.', 'Hsu, L.', 'Fallows, S.', 'Hertel, S. A.', 'Sundqvist, K. M.', 'Cabrera, B.', 'Chagani, H.', 'Fox, J.', 'Arrenberg, S.', 'Kim, P.', 'McCarthy, K. A.', 'Brink, P. L.', 'Yen, J. J.', 'Fritts, M.', 'Moore, D. C.', 'Leman, S. W.', 'Bunker, R.', 'Young, B. A.', 'Reisetter, A.', 'Page, K.', 'Mirabolfathi, N.', 'Yellin, S.', 'Kennedy, A.', 'Balakishiyeva, D.', 'Yoo, J.', 'CDMS Collaboration', 'Crewdson, C. H.']",2013/04/12,2013/09/14,['Cosmology and Nongalactic Astrophysics (astro-ph.CO)'],['High Energy Physics - Experiment (hep-ex)'],[],[]
['Jennifer Ouellette'],2013-07-18,"In the Hunt for Dark Matter, Promises to Keep?",1304.4279,Silicon Detector Dark Matter Results from the Final Exposure of CDMS II,"['Phipps, A.', 'Nelson, R. H.', 'Billard, J.', 'Shank, B.', 'Thakur, R. Basu', 'Cerdeno, D. G.', 'Pyle, M.', 'Speller, D.', 'Hofer, T.', 'Sander, J.', 'Bauer, D. A.', 'Saab, T.', 'Agnese, R.', 'Daal, M.', 'Brandt, D.', 'Cornell, B.', 'Ahmed, Z.', 'Mandic, V.', 'Redl, P.', 'Scorza, S.', 'Serfass, B.', 'Cushman, P.', 'Figueroa-Feliciano, E.', 'Loer, B.', 'Wright, D. H.', 'Kos, M.', 'Esteban, L.', 'Kamaev, O.', 'Godfrey, G. L.', 'Caldwell, D. O.', 'Silva, E. Do Couto E', 'Borgland, A.', 'Kelsey, M. H.', 'Kara, B.', 'Qiu, H.', 'Kiveni, M.', 'Huber, M. E.', 'Filippini, J.', 'Harris, R. H.', 'Schnee, R. W.', 'Martinez, C.', 'Ricci, Y.', 'Partridge, R.', 'Schneck, K.', 'Pepin, M.', 'Nadeau, P.', 'Dejongh, F.', 'Anderson, A. J.', 'Mahapatra, R.', 'Prasad, K.', 'Doughty, T.', 'Welliver, B.', 'Cooley, J.', 'Golwala, S. R.', 'Hall, J.', 'Bruch, T.', 'Jastram, A.', 'Holmgren, D.', 'Koch, K.', 'Moffatt, R. A.', 'Sadoulet, B.', 'Rau, W.', 'Villano, A. N.', 'Hsu, L.', 'Fallows, S.', 'Hertel, S. A.', 'Zhang, J.', 'Sundqvist, K. M.', 'Cabrera, B.', 'Chagani, H.', 'Fox, J.', 'Arrenberg, S.', 'Kim, P.', 'McCarthy, K. A.', 'Brink, P. L.', 'Yen, J. J.', 'Fritts, M.', 'Moore, D. C.', 'Leman, S. W.', 'Bunker, R.', 'Young, B. A.', 'Reisetter, A.', 'Page, K.', 'Mirabolfathi, N.', 'Yellin, S.', 'Kennedy, A.', 'Asamar, E. Lopez', 'Balakishiyeva, D.', 'Yoo, J.', 'CDMS Collaboration', 'Crewdson, C. H.']",2013/04/15,2013/10/11,['High Energy Physics - Experiment (hep-ex)'],"['Cosmology and Nongalactic Astrophysics (astro-ph.CO)', 'Instrumentation and Methods for Astrophysics (astro-ph.IM)', 'Instrumentation and Detectors (physics.ins-det)']",[],[]
['Thomas Lewton'],2021-05-05,Quantum Double-Slit Experiment Offers Hope for Earth-Size Telescope,2103.07590,Quantum memories and the double-slit experiment: implications for astronomical interferometry,"['Bartholomew, John', 'Bland-Hawthorn, Joss', 'Sellars, Matt']",2021/03/13,2021/03/13,['Instrumentation and Methods for Astrophysics (astro-ph.IM)'],[],[],[]
['Rachel Crowell'],2022-04-04,Father-Son Team Solves Geometry Problem With Infinite Folds,2105.10774,Continuous Flattening of All Polyhedral Manifolds using Countably Infinite Creases,"['Lynch, Jayson', 'Demaine, Erik D.', 'Abel, Zachary', 'Ku, Jason S.', 'Itoh, Jin-ichi', 'Nara, Chie', 'Demaine, Martin L.']",2021/05/22,2021/05/22,['Computational Geometry (cs.CG)'],[],[],[]
['Charlie Wood'],2019-06-10,Do Brains Operate at a Tipping Point? New Clues and Complications,1503.08033,Power-law statistics and universal scaling in the absence of criticality,"['Destexhe, Alain', 'Touboul, Jonathan']",2015/03/27,2017/01/02,['Neurons and Cognition (q-bio.NC)'],[],[],[]
['Natalie Wolchover'],2019-11-04,What Shape Is the Universe? A New Study Suggests We’ve Got It All Wrong,1807.06209,Planck 2018 results. VI. Cosmological parameters,"['Forastieri, F.', 'Dupac, X.', 'Polastri, L.', 'Zonca, A.', 'Lindholm, V.', 'Melchiorri, A.', 'Molinari, D.', 'Maris, M.', 'Kunz, M.', 'Millea, M.', 'Sirri, G.', 'Crill, B. P.', 'Hivon, E.', 'Reinecke, M.', 'Combet, C.', 'Challinor, A.', 'McEwen, J. D.', 'Boulanger, F.', 'Matarrese, S.', 'Liguori, M.', 'Basak, S.', 'Gruppuso, A.', 'Bock, J. J.', 'Fantaye, Y.', 'Diego, J. M.', 'Miville-Deschênes, M. -A.', 'Shellard, E. P. S.', 'Herranz, D.', 'Patanchon, G.', 'Eriksen, H. K.', 'Kim, J.', 'Fergusson, J.', 'Remazeilles, M.', 'Galeotta, S.', 'Knox, L.', 'Enßlin, T. A.', 'Barreiro, R. B.', 'Banday, A. J.', 'Migliaccio, M.', 'Lemos, P.', 'Bartolo, N.', 'Gerbino, M.', 'Spencer, L. D.', 'Karakci, A.', 'Galli, S.', 'Delouis, J. -M.', 'Doré, O.', 'Martínez-González, E.', 'Zacchei, A.', 'Scott, D.', 'Akrami, Y.', 'Delabrouille, J.', 'Lasenby, A.', 'Vibert, L.', 'Krachmalnicoff, N.', 'Ganga, K.', 'Di Valentino, E.', 'Villa, F.', 'Cardoso, J. -F.', 'Kurki-Suonio, H.', 'Douspis, M.', 'Gudmundsson, J. E.', 'Borrill, J.', 'Bersanelli, M.', 'Moss, A.', 'Colombo, L. P. L.', 'Sunyaev, R.', 'Handley, W.', 'Rachen, J. P.', 'Fraisse, A. A.', 'Tenti, M.', 'Huang, Z.', 'Burigana, C.', 'Contreras, D.', 'Farhang, M.', 'White, S. D. M.', 'Toffolatti, L.', 'Lawrence, C. R.', 'Cuttaia, F.', 'de Bernardis, P.', 'Jeune, M. Le', 'Vittorio, N.', 'Dusini, S.', 'Puget, J. -L.', 'Elsner, F.', 'Lilje, P. B.', 'Meinhold, P. R.', 'Mitra, S.', 'Maino, D.', 'López-Caniego, M.', 'Roudier, G.', 'Tauber, J. A.', 'Aumont, J.', 'Renzi, A.', 'Morgante, G.', 'Mandolesi, N.', 'Hamann, J.', 'Ruiz-Granados, B.', 'Vielva, P.', 'Kisner, T. S.', 'Kiiveri, K.', 'Ballardini, M.', 'Natoli, P.', 'Nørgaard-Nielsen, H. U.', 'Ashdown, M.', 'Butler, R. C.', 'Lilley, M.', 'Sirignano, C.', 'Gratton, S.', 'Ghosh, T.', 'Bielewicz, P.', 'Hansen, F. K.', 'Partridge, B.', 'Salvati, L.', 'Peiris, H. V.', 'Levrier, F.', 'Battye, R.', 'Lesgourgues, J.', 'Planck Collaboration', 'Ducout, A.', 'Perrotta, F.', 'Bond, J. R.', 'Bernard, J. -P.', 'Calabrese, E.', 'Jaffe, A. H.', 'Aghanim, N.', 'Mangilli, A.', 'Rubiño-Martín, J. A.', 'Martin, P. G.', 'Chiang, H. C.', 'Van Tent, B.', 'Lattanzi, M.', 'Martinelli, M.', 'Frolov, A.', 'Valiviita, J.', 'Génova-Santos, R. T.', 'Baccigalupi, C.', 'Wehus, I. K.', 'Rosset, C.', 'Lewis, A.', 'Hildebrandt, S. R.', 'Franceschi, E.', 'Górski, K. M.', 'Tomasi, M.', 'Bouchet, F. R.', 'Valenziano, L.', 'González-Nuevo, J.', 'Wandelt, B. D.', 'Lubin, P. M.', 'Suur-Uski, A. -S.', 'Macías-Pérez, J. F.', 'Pagano, L.', 'Finelli, F.', 'Chluba, J.', 'Lagache, G.', 'Carron, J.', 'Mennella, A.', 'de Zotti, G.', 'Ma, Y. -Z.', 'Tavagnacco, D.', 'White, M.', 'Polenta, G.', 'Jones, W. C.', 'Frailis, M.', 'Mauri, N.', 'Lamarre, J. -M.', 'Sandri, M.', 'Savelainen, M.', 'Trombetti, T.', 'Keihänen, E.', 'Benabed, K.', 'Pettorino, V.', 'Keskitalo, R.', 'Fernandez-Cobos, R.', 'Paoletti, D.', 'Rocha, G.', 'Efstathiou, G.', 'Maggio, G.', 'Montier, L.', 'Piacentini, F.', 'Bucher, M.', 'Marcos-Caballero, A.']",2018/07/17,2021/08/09,['Cosmology and Nongalactic Astrophysics (astro-ph.CO)'],[],[],[]
['Erica Klarreich'],2020-05-19,Graduate Student Solves Decades-Old Conway Knot Problem,1702.03974,Knot traces and concordance,"['Piccirillo, Lisa', 'Miller, Allison N.']",2017/02/13,2018/01/17,['Geometric Topology (math.GT)'],[],57M25,[]
['Natalie Wolchover'],2014-02-12,Big Bang Secrets Swirling in a Fluid Universe,1307.3220,On the Velocity in the Effective Field Theory of Large Scale Structures,"['Mercolli, Lorenzo', 'Pajer, Enrico']",2013/07/11,2014/02/12,['Cosmology and Nongalactic Astrophysics (astro-ph.CO)'],"['High Energy Physics - Phenomenology (hep-ph)', 'High Energy Physics - Theory (hep-th)']",[],[]
['Natalie Wolchover'],2014-02-12,Big Bang Secrets Swirling in a Fluid Universe,1311.2168,The Lagrangian-space Effective Field Theory of Large Scale Structures,"['Porto, Rafael A.', 'Senatore, Leonardo', 'Zaldarriaga, Matias']",2013/11/09,2014/05/04,['Cosmology and Nongalactic Astrophysics (astro-ph.CO)'],"['General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Phenomenology (hep-ph)', 'High Energy Physics - Theory (hep-th)']",[],[]
