quanta_author,quanta_pub_date,quanta_title,number_arxiv_links
['Robbert Dijkgraaf'],2017-09-07,"To Solve the Biggest Mystery in Physics, Join Two Kinds of Law",0
['Nola Taylor Redd'],2020-02-18,New Exoplanet Search Strategy Claims First Discovery,0
['Jennifer Ouellette'],2013-07-18,"In the Hunt for Dark Matter, Promises to Keep?",3
['Natalie Wolchover'],2013-04-11,Scientists Parse Ocean’s Dynamic Role in Climate Change,0
['Thomas Lewton'],2021-05-05,Quantum Double-Slit Experiment Offers Hope for Earth-Size Telescope,1
['Jordana Cepelewicz'],2018-07-10,"To Make Sense of the Present, Brains May Predict the Future",0
['Michael Moyer'],2020-10-22,The Hidden Structure of the Universe,0
['Pradeep Mutalik'],2017-03-16,A Ticking Evolutionary Clock,0
['Katie McCormick'],2022-06-22,The Spooky Quantum Phenomenon You’ve Never Heard Of,0
['James R. Riordon'],2022-12-20,‘Fullertubes’ Join the Family of Carbon Crystals,0
['Pradeep Mutalik'],2015-08-14,Solution: ‘The Slippery Eel of Probability’,0
['Viviane Callier'],2021-05-10,DNA’s Histone Spools Hint at How Complex Cells Evolved,0
['Rachel Crowell'],2022-04-04,Father-Son Team Solves Geometry Problem With Infinite Folds,1
['Emily Singer'],2014-02-05,Chemists Seek Possible Precursor to RNA,0
['Charlie Wood'],2019-06-10,Do Brains Operate at a Tipping Point? New Clues and Complications,1
['Pradeep Mutalik'],2022-07-29,Seeking Mathematical Truth in Counterfeit Coin Puzzles,0
['Jordana Cepelewicz'],2018-10-29,Scientists Learn the Ropes on Tying Molecular Knots,0
['Elizabeth Svoboda'],2015-06-16,"Below Our Feet, a World of Hidden Life",0
['Emily Singer'],2015-08-18,A Surprise Source of Life’s Code,0
['Natalie Wolchover'],2019-11-04,What Shape Is the Universe? A New Study Suggests We’ve Got It All Wrong,1
['Kevin Hartnett'],2015-09-02,A New Design for Cryptography’s Black Box,0
['Kevin Hartnett'],2019-06-18,A New Law to Describe Quantum Computing’s Rise?,0
['Veronique Greenwood'],2016-12-06,Viruses Find a New Way to Hijack Cells,0
['Erica Klarreich'],2020-05-19,Graduate Student Solves Decades-Old Conway Knot Problem,1
['Frank Wilczek'],2017-02-28,Inside the Knotty World of ‘Anyon’ Particles,0
['Emily Singer'],2014-05-22,"Inside the Din, Cells Fight Noise With Noise",0
['Kevin Hartnett'],2016-01-21,Taming Superconductors With String Theory,0
['Natalie Wolchover'],2014-02-12,Big Bang Secrets Swirling in a Fluid Universe,2
['Ben Brubaker'],2022-02-28,"Four Years On, New Experiment Sees No Sign of ‘Cosmic Dawn’",0
['Steve Nadis'],2022-02-08,An Ancient Geometry Problem Falls to New Mathematical Techniques,2
