quanta_author,quanta_pub_date,quanta_title,number_arxiv_links
['Kevin Hartnett'],2023-02-15,"To Teach Computers Math, Researchers Merge AI Approaches",2
['Leila Sloman'],2023-03-21,Surprise Computer Science Proof Stuns Mathematicians,2
['Steve Nadis'],2023-01-24,Mathematicians Find an Infinity of Possible Black Hole Shapes,3
['Rebecca Boyle'],2023-01-20,Standard Model of Cosmology Survives JWST’s Surprising Finds,7
['Konstantin Kakaes'],2022-12-22,The Biggest Math Breakthroughs in 2022,0
['John Rennie'],2022-12-21,Major Biology Discoveries From 2022,0
[],2023-01-04,"Inside Ancient Asteroids, Gamma Rays Made Building Blocks of Life",0
['Allison Whitten'],2023-02-14,Gene Expression in Neurons Solves a Brain Evolution Puzzle,0
['Zack Savitsky'],2023-03-13,Shadows in the Big Bang Afterglow Reveal Invisible Cosmic Structures,1
['Leila Sloman'],2023-01-12,"In a Moment, Mathematicians Merge Probability and Number Theory",4
['Jake Buehler'],2023-03-30,How a DNA ‘Parasite’ May Have Fragmented Our Genes,0
['Ben Brubaker'],2023-01-18,"Finally, a Fast Algorithm for Shortest Paths on Negative Graphs",2
['Bill Andrews'],2022-12-21,The Biggest Discoveries in Computer Science in 2022,0
['Polly Stryker'],2023-02-09,"The Joy of Asking About Infinity, Jellyfish and the End of the Universe",0
['Anna Gibbs'],2023-03-06,Simpler Math Predicts How Close Ecosystems Are to Collapse,0
['Max G. Levy'],2023-02-01,Machines Learn Better if We Teach Them the Basics,4
['Katie McCormick'],2023-02-27,Strange Solar Gamma Rays Discovered at Even Higher Energies,1
['Ben Brubaker'],2023-01-25,The Computer Scientist Who Finds Life Lessons in Board Games,1
['Kevin Hartnett'],2023-01-03,"Long Out of Math, an AI Programmer Cracks a Pure Math Problem",7
['Natalie Wolchover'],2022-12-22,The Biggest Discoveries in Physics in 2022,0
['Leila Sloman'],2023-02-02,Mathematicians Prove This Knot Cannot Solve Major Problem,3
['Ben Brubaker'],2023-03-22,"Bob Metcalfe, Ethernet Pioneer, Wins Turing Award",0
['Tara C. Smith'],2023-02-23,Can a Fungus Really Take Over Our Brains?,0
['Claudia Dreifus'],2023-02-13,She Studies Growing Arteries to Aid Heart Attack Recovery,0
['Charlie Wood'],2023-01-11,Starfish Whisperer Develops a Physical Language of Life,0
['Leila Sloman'],2023-03-15,Coloring by Numbers Reveals Arithmetic Patterns in Fractions,1
['Marta Zaraska'],2023-02-28,How Loneliness Reshapes the Brain,0
['Anna Gibbs'],2023-03-20,Dinosaur Bone Study Reveals That Not All Giants Grew Alike,0
['David S. Richeson'],2023-03-29,Only Computers Can Solve This Map-Coloring Problem From the 1800s,0
['Erica Klarreich'],2023-03-27,Emmy Murphy Is a Mathematician Who Finds Beauty in Flexibility,0
['Jordana Cepelewicz'],2023-03-09,Long-Sought Math Proof Unlocks More Mysterious ‘Modular Forms’,2
['Lyndie Chiou'],2023-02-08,What Lights the Universe’s Standard Candles?,2
['Yasemin Saplakoglu'],2023-03-14,Global Microbiome Study Gives New View of Shared Health Risks,0
['Steven Strogatz'],2023-03-08,Can We Program Our Cells?,0
['Charlie Wood'],2023-02-22,Physicists Use Quantum Mechanics to Pull Energy out of Nothing,4
"[""Jonathan O'Callaghan""]",2023-01-30,Astronomers Say They Have Spotted the Universe’s First Stars,2
['Yasemin Saplakoglu'],2023-01-17,Mobile Genes From the Mother Shape the Baby’s Microbiome,0
['Stephen Ornes'],2023-03-16,The Unpredictable Abilities Emerging From Large AI Models,3
['Thomas Lewton'],2023-03-07,"Black Holes Will Destroy All Quantum States, Researchers Argue",5
[],2023-03-08,Room-Temperature Superconductor Discovery Meets With Resistance,5
['Charlie Wood'],2023-01-27,How Quantum Physicists ‘Flipped Time’ (and How They Didn’t),5
['Thomas Lin'],2023-03-03,"Introducing Quanta’s New Math Game, Hyperjumps!",0
['Leila Sloman'],2023-02-16,Quantum Field Theory Pries Open Mathematical Puzzle,1
['Viviane Callier'],2023-01-10,Ants Live 10 Times Longer by Altering Their Insulin Responses,0
['Matt Carlstrom'],2022-12-22,Thoughtful and Funny Feedback From Quanta’s Audience in 2022,0
['Rachel Crowell'],2023-03-01,An Applied Mathematician Strengthens AI With Pure Math,1
['Lyndie Chiou'],2023-03-28,"With AI, Astronomers Dig Up the Stars That Birthed the Milky Way",4
['Erica Klarreich'],2023-01-19,Mathematicians Roll Dice and Get Rock-Paper-Scissors,5
['Patrick Honner'],2023-03-24,The Symmetry That Makes Solving Math Equations Easy,0
['Joanna Thompson'],2023-01-26,The Cause of Depression Is Probably Not What You Think,0
['John M. Beggs'],2023-01-31,A Physical Theory For When the Brain Performs Best,0
['Anil Ananthaswamy'],2023-01-05,The Physics Principle That Inspired Modern AI Art,3
['Ben Brubaker'],2023-01-09,New Algorithm Closes Quantum Supremacy Window,1
['Ben Brubaker'],2023-03-02,Cryptographers Show How to Hide Invisible Backdoors in AI,2
['Yasemin Saplakoglu'],2023-02-21,"With Nothing to Eat Except Viruses, Some Microbes Thrive",0
['Jordana Cepelewicz'],2023-02-10,Mathematicians Complete Quest to Build ‘Spherical Cubes’,2
['Steven Strogatz'],2023-02-22,How Will the Universe End?,0
['Steven Strogatz'],2023-03-22,Is There Math Beyond the Equal Sign?,0
