quanta_author,quanta_pub_date,quanta_title,arxiv_id,title,authors,original_submission_date,most_recent_update_date,primary_subject,secondary_subject,primary-MSC,secondary_MSC
['Jordana Cepelewicz'],2023-03-09,Long-Sought Math Proof Unlocks More Mysterious ‘Modular Forms’,2109.09040,The Unbounded Denominators Conjecture,"['Calegari, Frank', 'Tang, Yunqing', 'Dimitrov, Vesselin']",2021/09/19,2022/03/18,['Number Theory (math.NT)'],[],[],[]
['Jordana Cepelewicz'],2023-03-09,Long-Sought Math Proof Unlocks More Mysterious ‘Modular Forms’,1201.6644,Congruence Property In Conformal Field Theory,"['Dong, Chongying', 'Ng, Siu-Hung', 'Lin, Xingjun']",2012/01/31,2015/10/27,['Quantum Algebra (math.QA)'],"['High Energy Physics - Theory (hep-th)', 'Mathematical Physics (math-ph)', 'Category Theory (math.CT)', 'Representation Theory (math.RT)']","17B69, 18D10, 20H05, 81R05, 81R50",[]
['Charlie Wood'],2023-02-22,Physicists Use Quantum Mechanics to Pull Energy out of Nothing,1701.03805,Engineering negative stress-energy densities with quantum energy teleportation,"['Funai, Nicholas', 'Martin-Martinez, Eduardo']",2017/01/13,2017/01/13,['Quantum Physics (quant-ph)'],"['General Relativity and Quantum Cosmology (gr-qc)', 'High Energy Physics - Theory (hep-th)']",[],[]
['Charlie Wood'],2023-02-22,Physicists Use Quantum Mechanics to Pull Energy out of Nothing,2203.16269,Experimental activation of strong local passive states with quantum information,"['Rodríguez-Briones, Nayeli A.', 'Katiyar, Hemant', 'Martín-Martínez, Eduardo', 'Laflamme, Raymond']",2022/03/30,2022/03/30,['Quantum Physics (quant-ph)'],[],[],[]
['Charlie Wood'],2023-02-22,Physicists Use Quantum Mechanics to Pull Energy out of Nothing,2301.02666,First Realization of Quantum Energy Teleportation on Superconducting Quantum Hardware,"['Ikeda, Kazuki']",2023/01/07,2023/01/27,['Quantum Physics (quant-ph)'],"['Superconductivity (cond-mat.supr-con)', 'High Energy Physics - Theory (hep-th)', 'Applied Physics (physics.app-ph)', 'Optics (physics.optics)']",[],[]
['Charlie Wood'],2023-02-22,Physicists Use Quantum Mechanics to Pull Energy out of Nothing,2301.11884,Long-range quantum energy teleportation and distribution on a hyperbolic quantum network,"['Ikeda, Kazuki']",2023/01/27,2023/01/27,['Quantum Physics (quant-ph)'],"['Computers and Society (cs.CY)', 'Information Theory (cs.IT)', 'Networking and Internet Architecture (cs.NI)']",[],[]
['Leila Sloman'],2023-01-12,"In a Moment, Mathematicians Merge Probability and Number Theory",2210.06279,The moment problem for random objects in a category,"['Sawin, Will', 'Wood, Melanie Matchett']",2022/10/12,2022/10/12,['Probability (math.PR)'],['Category Theory (math.CT)'],[],[]
['Leila Sloman'],2023-01-12,"In a Moment, Mathematicians Merge Probability and Number Theory",2007.12533,Cohen-Lenstra heuristics and bilinear pairings in the presence of roots of unity,"['Sawin, Will', 'Lipnowski, Michael', 'Tsimerman, Jacob']",2020/07/24,2020/07/24,['Number Theory (math.NT)'],[],[],[]
['Leila Sloman'],2023-01-12,"In a Moment, Mathematicians Merge Probability and Number Theory",1907.05002,A predicted distribution for Galois groups of maximal unramified extensions,"['Wood, Melanie Matchett', 'Zureick-Brown, David', 'Liu, Yuan']",2019/07/11,2022/07/21,['Number Theory (math.NT)'],[],[],[]
['Leila Sloman'],2023-01-12,"In a Moment, Mathematicians Merge Probability and Number Theory",2301.00791,Conjectures for distributions of class groups of extensions of number fields containing roots of unity,"['Sawin, Will', 'Wood, Melanie Matchett']",2023/01/02,2023/01/02,['Number Theory (math.NT)'],[],[],[]
