quanta_author,quanta_pub_date,quanta_title,number_arxiv_links
['Ben Brubaker'],2023-01-18,"Finally, a Fast Algorithm for Shortest Paths on Negative Graphs",2
['Ben Brubaker'],2022-11-23,AI Reveals New Possibilities in Matrix Multiplication,2
['Charlie Wood'],2023-01-11,Starfish Whisperer Develops a Physical Language of Life,0
['Katie McCormick'],2022-12-05,Asymmetry Detected in the Distribution of Galaxies,3
['Ben Brubaker'],2023-01-09,New Algorithm Closes Quantum Supremacy Window,1
['Charlie Wood'],2023-03-23,Wormhole Experiment Called Into Question,8
['Rebecca Boyle'],2023-01-20,Standard Model of Cosmology Survives JWST’s Surprising Finds,7
['Marta Zaraska'],2023-02-28,How Loneliness Reshapes the Brain,0
['Polly Stryker'],2023-02-09,"The Joy of Asking About Infinity, Jellyfish and the End of the Universe",0
['Thomas Lewton'],2023-03-07,"Black Holes Will Destroy All Quantum States, Researchers Argue",5
['Leila Sloman'],2023-02-16,Quantum Field Theory Pries Open Mathematical Puzzle,1
['Steven Strogatz'],2023-03-08,Can We Program Our Cells?,0
['Joanna Thompson'],2022-11-15,The Gut Microbiome Helps Social Skills Develop in the Brain,0
['Veronique Greenwood'],2022-12-19,Holly Moeller Finds Keys to Ecology in Cells That Steal,0
['Erica Klarreich'],2023-03-27,Emmy Murphy Is a Mathematician Who Finds Beauty in Flexibility,0
['Jordana Cepelewicz'],2022-11-16,Computer Helps Prove Long-Sought Fluid Equation Singularity,1
['Patrick Honner'],2023-03-24,The Symmetry That Makes Solving Math Equations Easy,0
['Jordana Cepelewicz'],2023-02-10,Mathematicians Complete Quest to Build ‘Spherical Cubes’,2
['Claudia Dreifus'],2023-02-13,She Studies Growing Arteries to Aid Heart Attack Recovery,0
"[""Jonathan O'Callaghan""]",2023-01-30,Astronomers Say They Have Spotted the Universe’s First Stars,2
['Anna Gibbs'],2023-03-06,Simpler Math Predicts How Close Ecosystems Are to Collapse,0
['Leila Sloman'],2022-11-09,Cryptography’s Future Will Be Quantum-Safe. Here’s How It Will Work.,1
['Tara C. Smith'],2023-02-23,Can a Fungus Really Take Over Our Brains?,0
['Ben Brubaker'],2023-01-25,The Computer Scientist Who Finds Life Lessons in Board Games,1
['Yasemin Saplakoglu'],2022-12-14,How the Brain Distinguishes Memories From Perceptions,0
['Leila Sloman'],2023-03-21,Surprise Computer Science Proof Stuns Mathematicians,2
['Max G. Levy'],2023-02-01,Machines Learn Better if We Teach Them the Basics,4
['Natalie Wolchover'],2022-12-22,The Biggest Discoveries in Physics in 2022,0
['Yasemin Saplakoglu'],2023-02-21,"With Nothing to Eat Except Viruses, Some Microbes Thrive",0
['Rachel Crowell'],2023-03-01,An Applied Mathematician Strengthens AI With Pure Math,1
['Anil Ananthaswamy'],2023-01-05,The Physics Principle That Inspired Modern AI Art,3
['Lyndie Chiou'],2022-11-07,The Enduring Mystery of the Dragonfly 44 Galaxy,3
['Charlie Wood'],2023-02-22,Physicists Use Quantum Mechanics to Pull Energy out of Nothing,4
['Jordana Cepelewicz'],2023-03-09,Long-Sought Math Proof Unlocks More Mysterious ‘Modular Forms’,2
['Erica Klarreich'],2023-01-19,Mathematicians Roll Dice and Get Rock-Paper-Scissors,5
