,location,latitude,longitude,driving duration,driving distance,geoDistance
0,Tufts University,42.40649125,-71.11800725402092,7409.3,150938.7,15216.942325642165 km
1,Mount Holyoke College,42.25532845,-72.56966884397315,1291.8,18157.9,15249.812049750355 km
2,The City University of New YorkQueens College and Graduate Center,,,,,
3,New York University,40.72925325,-73.99625393609625,13231.4,278249.3,15141.337253098225 km
4,Mount Holyoke College,42.25532845,-72.56966884397315,1291.8,18157.9,15249.812049750355 km
5,Mount Holyoke College,42.25532845,-72.56966884397315,1291.8,18157.9,15249.812049750355 km
6,Cornell University,42.450550699999994,-76.47835129554275,19063.5,422797.3,15398.598288705527 km
7,Princeton University,40.33867515,-74.65836549131683,16203.4,355274.1,15123.14910227799 km
8,University of Texas At Dallas,32.9875855,-96.74976927802929,105057.6,2773925.7,15019.933029137652 km
9,Oklahoma State University,36.128476750000004,-97.08398055028107,97355.5,2562488.1,15362.57814178174 km
10,Oklahoma State University,36.128476750000004,-97.08398055028107,97355.5,2562488.1,15362.57814178174 km
11,University of Washington,47.6543466,-122.30806059473039,174825.0,4855570.9,17125.626387941575 km
12,McMaster University,41.6624867,-83.61162385335275,43570.8,1107644.6,15547.507886635147 km
13,SUNY Buffalo,43.00188805,-78.78524617819649,24163.7,614149.1,15530.062310576703 km
14,University at Buffalo,43.00188805,-78.78524617819649,24163.7,614149.1,15530.062310576703 km
15,Harvard and Smithsonian--Center for Astrophysics,,,,,
16,Boston University,42.350189400000005,-71.10070118497421,7213.1,149812.2,15210.645746475566 km
17,Louisiana State University,30.405761849999998,-91.18597450265686,95406.7,2467503.1,14595.289400979302 km
18,Columbia University,40.8176657,-73.95851439291599,12301.3,265586.9,15149.133211760183 km
19,University of Pittsburgh,40.44415295,-79.96246095144505,36313.8,885246.9,15306.26634635469 km
20,University of Tennessee,35.9516352,-83.93088187962596,56426.6,1412793.3,14965.67434312568 km
21,University of Connecticut,41.82175755,-72.24277535505323,5350.1,79111.9,15194.84370659535 km
22,University of Chicago,41.79139685,-87.60084387193544,56845.5,1459561.1,15684.55081036567 km
23,UNC-Chapel Hill,35.90503535,-79.04775326525107,45070.4,1086230.6,14807.937917888921 km
24,Carnegie Mellon University,40.444189699999995,-79.94271918393466,36203.7,884344.3,15305.63699206521 km
25,Université du Québec à Montréal (UQAM),,,,,
26,MIT,42.3582529,-71.0966272383055,7173.3,148668.7,15211.329502755061 km
27,Harvard,42.36790855,-71.12678237443698,7089.9,147479.6,15213.314277533374 km
28,Loyola University Chicago,41.999149200000005,-87.65737041681818,57901.4,1483099.5,15707.733013179624 km
29,Smith College,42.31622385,-72.64039314741159,1184.8,13526.3,15258.350905080728 km
30,Independent,30.0324251,-91.8506734,99990.7,2580967.6,14574.09510392447 km
31,University of California San Diego,32.87924375,-117.23112468377349,173182.6,4780775.2,15436.177185881414 km
32,Salisbury University,38.34569205,-75.60689503356375,27699.9,628756.6,14949.48197898367 km
33,Northeastern University,42.3390301,-71.08791294953176,7165.6,149340.9,15209.086149159402 km
34,University of Massachusetts Amherst,42.3869382,-72.52991477067445,54.6,485.8,15261.87653007236 km
35,UMass Amherst,42.3869382,-72.52991477067445,54.6,485.8,15261.87653007236 km
36,Johns Hopkins University,39.33020225,-76.62185357858337,25075.0,575429.6,15083.840555435467 km
37,MIT,42.3582529,-71.0966272383055,7173.3,148668.7,15211.329502755061 km
38,University of Oklahoma,35.1959878,-97.44570827599858,100145.6,2649590.9,15273.058950667972 km
39,UQAM,,,,,
40,Brandeis University,42.36650945,-71.2580196483813,6825.8,139638.1,15217.53941275935 km
41,UC Davis,38.533790350000004,-121.79079892146456,170004.1,4766742.2,16118.800097050875 km
42,UMass Amherst,42.3869382,-72.52991477067445,54.6,485.8,15261.87653007236 km
43,University of CaliforniaLos Angeles,,,,,
44,University of Minnesota - Twin Cities,44.9863392,-93.17945580218503,82158.2,2123007.4,16181.56043304631 km
45,University of Massachusetts Amherst,42.3869382,-72.52991477067445,54.6,485.8,15261.87653007236 km
46,Wake Forest University,36.134335,-80.2781152,49237.6,1203476.8,14870.77027732044 km
47,Emory University,33.80045465,-84.31723780466274,66808.8,1669036.9,14752.595336398164 km
48,Concordia University,33.653869549999996,-117.81091553447582,170171.6,4695967.8,15529.558138733735 km
49,Union College,42.8175752,-73.92839165453219,8094.6,187926.4,15351.970844121308 km
50,Cornell University,42.450550699999994,-76.47835129554275,19063.5,422797.3,15398.598288705527 km
51,University of California - Berkeley,37.86865795,-122.25593425935196,173956.6,4863149.3,16051.39081243056 km
52,Massachusetts Institute of Technology,42.3582529,-71.0966272383055,7173.3,148668.7,15211.329502755061 km
53,Amherst College,42.3703768,-72.5160691823344,341.0,3271.8,15259.733395896985 km
54,Brown University,41.8186395,-71.4088008716793,6893.1,144288.0,15166.832609151292 km
55,University of Louisiana at Lafayette,30.21928995,-92.04138303976296,98687.6,2556575.0,14599.201985690263 km
56,Purdue University,40.43002715,-86.92641792444294,56924.2,1431556.0,15523.114762946132 km
57,University of MassachusettsAmherst,,,,,
58,Institute for Advanced Study,40.3322547,-74.66578773959287,16449.3,355913.1,15122.73536162032 km
59,Harvard University,42.36790855,-71.12678237443698,7089.9,147479.6,15213.314277533374 km
60,University of MassachusettsBoston,,,,,
